Production_History[0].Inspect_Station_Vision_Pos7_Color,0,Decimal,DINT,Standard,Data & Process Recipe Information 1=Red; 2=Yellow; 3=Blue,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Red_Upper,255,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value Limit (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Red_Lower,0,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value Limit (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Gre_Upper,255,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value Limit (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Gre_Lower,0,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value Limit (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Blu_Upper,255,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value Limit (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Blu_Lower,0,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value Limit (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Red,0,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value of Entire Vial (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Green,0,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value of Entire Vial (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_VialRGB_Blue,0,Decimal,DINT,Standard,Data & Process Recipe Information RGB Color Value of Entire Vial (Wet Fill),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_Complete,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=No; 1=Yes; 2=Process Incomplete,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_DryFill_Count_Red,0,Decimal,DINT,Standard,Data & Process Recipe Information Total Count of Dry Fill Elements in Vial (Red),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_DryFill_Count_Yel,0,Decimal,DINT,Standard,Data & Process Recipe Information Total Count of Dry Fill Elements in Vial (Yellow),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_DryFill_Count_Blu,0,Decimal,DINT,Standard,Data & Process Recipe Information Total Count of Dry Fill Elements in Vial (Blue),Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_DryFill_Count,0,Decimal,DINT,Standard,Data & Process Recipe Information Total Count of Dry Fill Elements in Vial,Read/Write,,,,,
Production_History[0].Inspect_Station_Vision_PassFail,0,Decimal,DINT,Standard,Data & Process Recipe Information 0=Not Inspected; 1=Pass; 2=Fail,Read/Write,,,,,
Production_History[0].Process_Start_Time,{...},,Time,Standard,Data & Process Recipe Information Time Stamp Vial Inspect and Load Initiated at Station1,Read/Write,,,,,
